,USDCAD Curncy,S&P 500 Total Return Index,S&P/TSX Composite Total Return Index,USGG2YR Index,USGG12M Index,GCAN2YR Index,GCAN12M Index,CL1 Comdty,XAU Curncy,HG1 Comdty,US0003M Index,GCAN3M Index,DXY Curncy,USDJPY Curncy
2009-07-01,1.1496,1505.639,27002.03,1.0377,0.5324,1.207,0.562,69.31,940.8,231.5,0.5875,0.234,79.634,96.66
2009-07-02,1.163,1461.798,26679.02,0.9815,0.4813,1.172,0.555,66.73,929.8,229,0.5775,0.234,80.151,95.95
2009-07-03,1.1607,1461.798,26787.96,0.9813,0.4813,1.169,0.537,66.73,932.5,#N/A,0.55875,0.232,80.382,96.04
2009-07-06,1.1593,1465.583,26121.92,0.9412,0.4517,1.155,0.541,64.05,925.1,225.05,0.54813,0.245,80.454,95.35
2009-07-07,1.1665,1436.743,25645.44,0.9651,0.4578,1.167,0.552,62.93,924.68,221.4,0.5375,0.228,80.621,94.9
2009-07-08,1.1675,1435.199,25148.91,0.909,0.4374,1.168,0.572,60.14,909.5,214.8,0.525,0.28,80.766,92.88
2009-07-09,1.1623,1440.303,25463.22,0.9247,0.4425,1.176,0.582,60.41,912.28,222.65,0.51,0.277,79.864,93
2009-07-10,1.1638,1434.504,25393.74,0.8998,0.4312,1.162,0.583,59.89,913.05,220.05,0.505,0.272,80.233,92.55
2009-07-13,1.1505,1470.427,25772.02,0.8995,0.4578,1.181,0.593,59.69,920.3,221.3,0.50938,0.268,80.126,92.97
2009-07-14,1.1329,1478.236,26018.06,0.9394,0.4506,1.226,0.629,59.52,925.68,229,0.51313,0.263,80.184,93.51
2009-07-15,1.1126,1522.088,26617.44,1.0117,0.4669,1.248,0.639,61.54,939.1,238.25,0.51375,0.253,79.316,94.23
2009-07-16,1.1171,1535.304,26849.29,0.9793,0.4373,1.205,0.615,62.02,937.4,238,0.51,0.254,79.216,93.93
2009-07-17,1.1134,1534.703,27018.66,0.9868,0.4383,1.213,0.615,63.56,937.5,241.4,0.50375,0.251,79.347,94.2
2009-07-20,1.1062,1552.257,27466.42,0.9703,0.4434,1.217,0.61,63.98,948.75,246,0.505,0.224,78.907,94.19
2009-07-21,1.1037,1557.909,27400.46,0.9213,0.4261,1.19,0.608,64.72,948.53,244.35,0.50313,0.242,78.927,93.75
2009-07-22,1.0997,1557.366,27184.85,0.9373,0.4251,1.206,0.605,65.4,951.25,251.8,0.50188,0.284,78.706,93.68
2009-07-23,1.0889,1593.65,27836.4,1.0105,0.4424,1.308,0.627,67.16,949.2,251.9,0.50375,0.283,78.803,94.93
2009-07-24,1.0868,1598.501,27868.26,0.9936,0.4302,1.331,0.63,68.05,951.35,251.7,0.50188,0.282,78.749,94.79
